tsl,byd
0.682942741,0.912992946
0.414836636,0.992783314
0.396834285,0.308338155
0.601533239,0.486158692
0.052111287,0.963104305
0.233177492,2.39E-08
0.156344968,0.430535127
0.997812236,0.718731935
0.488455286,0.962734437
0.068233942,0.806456785
0.113032852,0.294254929
0.238558927,0.503272058
0.482447787,0.87265565
0.612707443,0.088491066
0.04248841,0.168670963
0.67640774,0.304931066
0.250255092,0.29301422
0.712298452,0.310728211
0.808857636,0.953446603
0.752534941,0.824749933
0.405456046,0.942591067
0.072379123,0.543770144
0.167527165,0.987398589
0.341423676,0.169146913
0.523708982,0.609115265
0.275849846,0.7814782
0.058172713,0.987812142
0.22361809,0.237837334
0.299630845,0.929252187
0.164527065,0.151037998
0.035299514,0.974084124
0.04453008,0.987683078
0.246484987,0.690405189
0.629399318,0.667519348
0.009557362,0.91319122
0.146583907,0.900934815
0.046319054,0.232665476
0.963937409,0.950620675
0.340419875,0.801127081
0.080824076,0.171273943
0.391948428,0.383780866
0.090785375,0.005661865
0.5,0.554027532
0.038548152,0.814500598
0.990403873,0.182135034
0.191264758,0.59994985
0.353185156,0.126218211
0.353185156,0.5283759
0.353185156,0.285103696
0.353185156,0.469403096
0.353185156,0.343330778
0.353185156,0.839138421
0.353185156,0.999255573
0.353185156,0.441995797
0.353185156,0.336248188
0.353185156,0.546990967
0.353185156,0.331421097
0.353185156,0.190984064
0.353185156,0.825576852
0.353185156,0.711359035
0.353185156,5.44E-05
0.353185156,0.975450314
0.353185156,0.441127882
0.353185156,0.708497343
0.353185156,0.579762342
0.353185156,0.503272058
0.353185156,0.392508585
0.353185156,0.083761597
0.353185156,0.44691797
0.130594045,0.440152845
0.048553196,0.984129986
0.063429362,0.03893794
0.099003256,0.633007581
0.359723643,0.929073085
0.195107781,0.929073085
0.661867847,0.99542532
0.487350685,0.499232439
0.048553196,0.554667646
0.144858012,0.727902129
0.166200241,0.992722783
0.398105941,0.94589557
0.353185156,0.900326205
0.148407078,0.994439442
0.061281986,0.994439442
